,index,dog_whistle,definition
0,0,SJW,liberals
1,3,SJWs,liberals
2,6,blue,Jewish
3,7,LGB,"Lesbian, gay, and bisexual, but not trans, rights"
4,8,working class,white working class
5,10,terrorist,Muslim people as a whole are a threat
6,12,centipede,Trump supporter
7,13,cucks,liberal or establishment Republican men
8,36,TRA,person who supports the transgender rights movement
9,39,globalist,Jewish people
10,47,terrorists,Muslim people as a whole are a threat
11,52,TIM,Trans woman
12,56,Reagan,Conservative person
13,58,extremist,Muslim people as a whole are a threat
14,59,Pepe,White supremacist signal
15,60,single mother,"Blaming Black parents (especially women) for poverty, crime, and dependence on public assistance"
16,64,globalists,Jewish people
17,65,illegal alien,Dangerous undocumented brown people
18,72,extremists,Muslim people as a whole are a threat
19,73,public school,Dangerous place with nonwhite kids that wastes tax dollars
20,74,Make America Great Again,Make America White Again
21,76,voter fraud,Disenfranchisement of minority voters
22,79,public schools,Dangerous place with nonwhite kids that wastes tax dollars
23,80,soy,liberal or establishment Republican men
24,83,pede,Trump supporter
25,91,XX,I am a transphobic cis woman
26,95,GC,Self-referential term for transphobic people
27,97,politically correct,We should let people be openly racist
28,118,coincidence,Jewish conspiracy
29,119,tax cuts,Don't spend tax money on minorities
30,120,grooming,LGBTQ people are predators
31,122,neoliberal,Non-leftist liberals
32,136,big pharma,Evil pharmaceutical companies sell poison for profit
33,137,Clown World,White supremacist signal originating in 4chan troll meme that clowns are racist
34,143,America First,We need to protect ourselves from Jewish influence
35,145,gender crit,Self-referential term for transphobic people
36,153,handouts,Any money that the government gives to support vulnerable people
37,154,social justice warriors,liberals
38,158,NWO,Jewish people control the world
39,167,multicultural,Too many Muslims
40,169,Baltimore,Minorities are dirty and criminals
41,171,beta male,Liberal men
42,172,multiculturalism,Too many Muslims
43,178,cuckold,liberal or establishment Republican men
44,182,extremism,Muslim people as a whole are a threat
45,183,quota,Opposition to efforts to achieve gender or racial parity
46,184,family values,Opposition to gay marriage
47,185,New World Order,Jewish people control the world
48,188,inner city,African American neighborhoods
49,191,cabal,Powerful group of Jewish people who control the world
50,195,religious freedom,Discrimination against LGBTQ people
51,196,cultural Marxist,Jewish people are upending society
52,198,steroids,Trans people are drug abusers
53,215,NPCs,Liberal person
54,217,trans activist,person who supports the transgender rights movement
55,220,deadbeat,Black men are irresponsible
56,221,13%,Racist signal that is a reference to the false statistic that African Americans are only 13% of the US population but commit a disproprotionate number of violent crimes
57,222,neoliberalism,Non-leftist liberals
58,233,as a white person,Jewish people are masquerading as white people in order to tell them what to do
59,235,neoliberals,Non-leftist liberals
60,239,power level,How deeply someone has fallen into fascist ideology
61,241,Zionist,Jewish people
62,258,dual citizenship,Jewish person
63,259,Zionists,Jewish people
64,271,88,"White supremacist signal that refers to the 14 Words by white supremacist David Lane and the number 88, or HH, as code for Heil Hitler"
65,272,Skittles,Muslim person
66,274,Googles,Black person
67,275,race realist,White people are better than other races
68,276,Deus Vult,Islamophobic signal referring to battle cry by Christian crusaders
69,278,puppet masters,Jewish people control the world
70,282,Bing,Asian person
71,286,critical race theory,Teaching anything about race and American history
72,288,secure the border,Keep out Latinos
73,290,TIFs,Trans man
74,292,OK sign,White supremacist signal
75,294,octopus,Jewish people control the world
76,295,individual responsibility,Opposition to public spending perceived to benefit racial minorities over white people
77,297,actual woman,"Transphobic signal that the speaker is a cis woman, with implication that trans women aren't ""real women"""
78,299,government handouts,Any money that the government gives to support vulnerable people
79,303,entitlements,"People who receive aid from government social aid programs, primarily minorities, are lazy and undeserving"
80,305,baby mama,Black women are irresponsible
81,306,cultural enrichment,Muslims create problems in society
82,310,Judeo-Christian,Muslims threaten Christian society
83,312,welfare queen,Black woman who are lazy and take advantage of government social aid
84,314,gender ideology,Trans people are threatening our way of life
85,316,Rothschild,Jewish people control all the money
86,317,war on terror,War on Arab and Muslim people
87,319,job creation,Wealthy people
88,320,welfare queens,Black woman who are lazy and take advantage of government social aid
89,322,school choice,Racial segregation in schools
90,323,states' rights,Racial segregation
91,324,anointed,I believe in and practice Pentecostal Christian beliefs
92,325,majority minority,White hegemony in America is threatened
93,326,race realists,White people are better than other races
94,327,shekels,Money with the connotation that Jews are greedy
95,329,Barack Hussein,Obama has a connection to Islam and is therefore threatening and untrustworthy
96,330,removing kebab,Kill Muslims
97,333,shoah,"Shut down, especially alt-right social media accounts by referencing the Holocaust"
98,336,anchor baby,Mexicans are manipulating the immigration system
99,340,ghettos,Low-income Black neighborhood
100,341,forced diversity,Diversity is making things worse
101,343,activist judge,Judges ruling in liberals' favor
102,345,dual citizen,Jewish person
103,346,Shariah,Muslims are violent and present a threat to Americans
104,358,the Fed,Jewish people control all the money
105,360,middle class,White middle class
106,365,Hollywood,Jewish people who control the media
107,367,welfare,racial minorities receive government aid that they don't deserve
108,369,beta,Liberal men
109,389,deep state,Jewish people are manipulating and controlling the government
110,390,Soros,Jewish person who controls the world
111,399,Chicago,Minorities are dirty and criminals
112,400,Sharia,Muslims are violent and present a threat to Americans
113,412,illegal immigrants,"Latino, especially Mexican, immigrants regardless of documentation"
114,420,entitlement,"People who receive aid from government social aid programs, primarily minorities, are lazy and undeserving"
115,421,affirmative action,White people are victims of racial mistreatment
116,426,snowflakes,liberals
117,435,thugs,Black men are criminals or violent
118,441,personal responsibility,Opposition to public spending perceived to benefit racial minorities over white people
119,445,food stamp,Government assistance for minorities
120,446,centipedes,Trump supporter
121,454,radical Islam,Muslim people as a whole are a threat
122,457,you know who,Jewish person
123,458,take back,Give white Americans back full social and political control over the country
124,459,Detroit,Minorities are dirty and criminals
125,480,law and order,Black and Latino people are lawless and commit crimes
126,485,shut it down,Jewish people control the world
127,496,CRT,Teaching anything about race and American history
128,497,cultural Marxism,Jewish people are upending society
129,500,right to work,Union-busting
130,522,globalism,Jewish interests
